           RELATIVISTIC
 ELASTIC SCATTERING CROSS SECTION
   d sigma/d omega versus theta

Atomic number       : 79
Energy              : 50 eV to 2650 eV, in 1 eV to 400 and 10 eV from there
Total cross section : in units of ao**2
    (ao**2 = 2.8002852E-21 m**2)
First row is Angle from 0 to 180 deg
First col is Energy in eV
Secnd col is Total cross section in unts of a0^2
The rest is cross section for each angle (d sigma/d omega) in units of ao**2/sterad

________________________________________
1610,7.234491,121.740501,117.178101,104.934998,88.410957,71.10405,55.34885,42.250622,31.88201,23.953699,18.012659,13.6144,10.38039,8.009539,6.271172,4.99254,4.046172,3.339017,2.803732,2.391887,2.068977,1.810494,1.59916,1.42285,1.273079,1.143907,1.031164,0.93189,0.843942,0.76573,0.696028,0.633858,0.578402,0.528957,0.484901,0.445673,0.410766,0.379716,0.352101,0.327536,0.305674,0.286204,0.268845,0.253348,0.239489,0.227072,0.215922,0.205882,0.196816,0.188599,0.181121,0.174284,0.167999,0.162184,0.156766,0.151678,0.146861,0.142259,0.137822,0.133507,0.129273,0.125086,0.120918,0.116744,0.112545,0.108308,0.104023,0.099688,0.095304,0.090877,0.086419,0.081946,0.077477,0.073037,0.068652,0.064353,0.060172,0.056144,0.052304,0.048689,0.045335,0.042278,0.039552,0.03719,0.035221,0.033671,0.032564,0.031917,0.031744,0.032053,0.032847,0.034122,0.035868,0.038069,0.040702,0.04374,0.047148,0.050884,0.054902,0.059151,0.063575,0.068114,0.072704,0.07728,0.081773,0.086114,0.090236,0.09407,0.09755,0.100614,0.103203,0.105262,0.106744,0.107607,0.107817,0.107349,0.106186,0.104322,0.10176,0.098516,0.094613,0.09009,0.084992,0.079379,0.07332,0.066896,0.060196,0.05332,0.046375,0.039477,0.032748,0.026315,0.02031,0.014868,0.010125,0.006217,0.003278,0.001441,0.000833,0.001574,0.003779,0.007551,0.012984,0.02016,0.029149,0.040004,0.052765,0.067455,0.08408,0.102629,0.123072,0.145363,0.169435,0.195204,0.22257,0.251414,0.281601,0.312979,0.345384,0.378637,0.412546,0.446913,0.481524,0.516166,0.550613,0.584641,0.618023,0.650532,0.681946,0.712045,0.740617,0.767458,0.792376,0.815191,0.835735,0.85386,0.869429,0.882329,0.892464,0.899758,0.904156,0.905625
1620,7.214149,122.019699,117.423103,105.095802,88.476151,71.092751,55.291969,42.171028,31.798401,23.87569,17.94458,13.55743,10.33403,7.972509,6.241934,4.969572,4.02811,3.324701,2.79222,2.382438,2.061026,1.803621,1.593066,1.417327,1.267989,1.139165,1.026719,0.927714,0.840024,0.762066,0.692619,0.630703,0.575501,0.526306,0.482494,0.443501,0.408818,0.377978,0.350557,0.326171,0.304471,0.285145,0.267912,0.252524,0.238759,0.226419,0.21533,0.205338,0.196305,0.18811,0.180642,0.173805,0.16751,0.161678,0.156236,0.151118,0.146267,0.141627,0.13715,0.132794,0.12852,0.124294,0.12009,0.115883,0.111656,0.107396,0.103095,0.098751,0.094365,0.089944,0.085501,0.081051,0.076614,0.072213,0.067877,0.063634,0.059516,0.055558,0.051794,0.048259,0.044989,0.042019,0.039381,0.037106,0.035224,0.033759,0.032732,0.03216,0.032056,0.032427,0.033273,0.03459,0.036367,0.038589,0.04123,0.044263,0.047653,0.051358,0.055332,0.059524,0.063879,0.068336,0.072834,0.077307,0.081689,0.085912,0.089908,0.093613,0.096961,0.099891,0.102347,0.104275,0.105631,0.106373,0.106471,0.105899,0.104644,0.102701,0.100074,0.096778,0.092841,0.088299,0.083201,0.077605,0.07158,0.065208,0.058576,0.051784,0.044939,0.038154,0.031551,0.025255,0.019396,0.014106,0.00952,0.00577,0.00299,0.001309,0.00085,0.001733,0.004069,0.007958,0.013492,0.020752,0.029803,0.040697,0.053474,0.068153,0.08474,0.103222,0.12357,0.145735,0.169652,0.195237,0.22239,0.250993,0.280911,0.311997,0.344086,0.377003,0.410558,0.444553,0.478782,0.513031,0.547079,0.580705,0.613687,0.6458,0.676826,0.706548,0.734758,0.761257,0.785854,0.808372,0.828648,0.846534,0.861898,0.874627,0.884627,0.891823,0.896163,0.897613
1630,7.193972,122.297699,117.666901,105.255302,88.54023,71.080727,55.235401,42.091511,31.715099,23.7981,17.876961,13.50091,10.28808,7.935828,6.212984,4.946838,4.010233,3.31053,2.78082,2.373075,2.053141,1.796801,1.587017,1.411844,1.262936,1.134458,1.022309,0.923575,0.836144,0.758441,0.689249,0.627587,0.572638,0.523692,0.480123,0.441363,0.406901,0.376268,0.349039,0.324827,0.303286,0.2841,0.266991,0.251709,0.238034,0.225768,0.214738,0.204791,0.19579,0.187615,0.180156,0.173318,0.167013,0.161163,0.155697,0.150551,0.145665,0.140989,0.136474,0.132079,0.127766,0.123504,0.119265,0.115028,0.110775,0.106494,0.102179,0.097827,0.093441,0.089029,0.084602,0.080176,0.075772,0.071413,0.067125,0.062938,0.058884,0.054995,0.051306,0.047851,0.044664,0.041778,0.039227,0.037038,0.03524,0.033857,0.032908,0.03241,0.032372,0.032801,0.033696,0.035053,0.03686,0.039099,0.041746,0.044773,0.048143,0.051815,0.055744,0.059879,0.064164,0.06854,0.072946,0.077318,0.08159,0.085695,0.089569,0.093146,0.096364,0.099163,0.101489,0.10329,0.104522,0.105148,0.105136,0.104465,0.103122,0.101103,0.098413,0.09507,0.091101,0.086544,0.081447,0.07587,0.069881,0.063561,0.056999,0.050292,0.043547,0.036875,0.030397,0.024237,0.018521,0.013382,0.008949,0.005356,0.002732,0.001202,0.00089,0.001911,0.004373,0.008375,0.014007,0.021345,0.030455,0.041385,0.054173,0.068838,0.085384,0.103797,0.124047,0.146084,0.169845,0.195244,0.222183,0.250545,0.280196,0.31099,0.342764,0.375346,0.408547,0.442175,0.476023,0.509882,0.543534,0.576762,0.609347,0.641067,0.671708,0.701057,0.72891,0.755069,0.779348,0.801574,0.821584,0.839234,0.854395,0.866954,0.876821,0.883921,0.888202,0.889633
1640,7.173959,122.574501,117.909302,105.413498,88.603233,71.068008,55.179001,42.01207,31.632099,23.72094,17.809799,13.44483,10.24252,7.899489,6.18432,4.924335,3.992538,3.296501,2.76953,2.363796,2.045322,1.790035,1.581011,1.406399,1.25792,1.129787,1.017935,0.919473,0.832301,0.754854,0.685917,0.62451,0.569813,0.521115,0.477786,0.439258,0.405014,0.374585,0.347544,0.323505,0.302118,0.28307,0.266081,0.250903,0.237314,0.225119,0.214146,0.204242,0.195272,0.187115,0.179664,0.172824,0.166509,0.160641,0.155151,0.149976,0.145058,0.140346,0.135794,0.131361,0.127012,0.122714,0.118443,0.114178,0.109901,0.105602,0.101275,0.096918,0.092534,0.088131,0.083722,0.079322,0.074951,0.070634,0.066396,0.062265,0.058274,0.054455,0.05084,0.047463,0.044357,0.041555,0.039088,0.036984,0.035269,0.033965,0.033092,0.032664,0.032689,0.033174,0.034117,0.035511,0.037345,0.0396,0.042251,0.045269,0.048617,0.052257,0.05614,0.060216,0.064431,0.068726,0.073041,0.077312,0.081475,0.085465,0.089217,0.092669,0.09576,0.098431,0.10063,0.102307,0.10342,0.103932,0.103814,0.103048,0.101619,0.099527,0.096779,0.093391,0.089394,0.084823,0.07973,0.074174,0.068223,0.061957,0.055465,0.048843,0.042197,0.035639,0.029285,0.023258,0.017685,0.012693,0.008413,0.004973,0.002501,0.00112,0.000951,0.002106,0.00469,0.008802,0.014527,0.021941,0.031105,0.042068,0.054864,0.069512,0.086013,0.104354,0.124503,0.146412,0.170014,0.195227,0.221952,0.250071,0.279456,0.309958,0.341419,0.373667,0.406518,0.439779,0.473249,0.50672,0.539981,0.572814,0.605004,0.636336,0.666596,0.695576,0.723074,0.748897,0.772862,0.794797,0.814544,0.831962,0.846921,0.859313,0.869047,0.876052,0.880276,0.881687
1650,7.154107,122.849899,118.150497,105.570396,88.665138,71.054588,55.122608,41.93272,31.54941,23.64419,17.743099,13.38919,10.19736,7.863489,6.155936,4.902059,3.975023,3.282612,2.758348,2.354601,2.037568,1.78332,1.57505,1.400993,1.25294,1.125152,1.013597,0.915406,0.828496,0.751305,0.682623,0.621471,0.567025,0.518574,0.475484,0.437184,0.403156,0.372929,0.346074,0.322203,0.300967,0.282053,0.265181,0.250103,0.236599,0.224473,0.213555,0.203691,0.194749,0.186609,0.179165,0.172323,0.165997,0.160112,0.154598,0.149394,0.144444,0.139698,0.13511,0.130642,0.126257,0.121927,0.117625,0.113333,0.109035,0.10472,0.100382,0.096022,0.091641,0.08725,0.08286,0.078487,0.074151,0.069876,0.065688,0.061615,0.057687,0.053936,0.050394,0.047095,0.04407,0.041349,0.038966,0.036944,0.035309,0.034083,0.033283,0.032922,0.033009,0.033547,0.034535,0.035964,0.037822,0.04009,0.042743,0.045751,0.049077,0.052682,0.056518,0.060536,0.06468,0.068895,0.073119,0.07729,0.081346,0.085221,0.088855,0.092184,0.09515,0.097696,0.09977,0.101326,0.102322,0.102724,0.102505,0.101646,0.100136,0.097974,0.09517,0.091741,0.087717,0.083137,0.07805,0.072516,0.066604,0.060393,0.053972,0.047436,0.04089,0.034443,0.028213,0.022319,0.016886,0.01204,0.007909,0.00462,0.002297,0.001062,0.001031,0.002317,0.005021,0.009238,0.015053,0.022537,0.031752,0.042744,0.055545,0.070173,0.086627,0.104894,0.12494,0.146718,0.170161,0.195186,0.221695,0.249574,0.278691,0.308903,0.340052,0.371967,0.404469,0.437366,0.470461,0.503548,0.53642,0.568861,0.600661,0.631607,0.66149,0.690104,0.717252,0.742742,0.766396,0.788044,0.807531,0.824718,0.839478,0.851704,0.861309,0.868219,0.872386,0.873779
1660,7.134415,123.124199,118.390297,105.725998,88.725983,71.040489,55.066071,41.853439,31.46702,23.56786,17.67684,13.33399,10.15259,7.827823,6.12783,4.880007,3.957686,3.268861,2.747273,2.345489,2.029879,1.776658,1.569132,1.395626,1.247997,1.120552,1.009294,0.911376,0.824727,0.747793,0.679367,0.618469,0.564274,0.516068,0.473215,0.435141,0.401327,0.371298,0.344625,0.32092,0.299833,0.28105,0.264292,0.249311,0.235888,0.223829,0.212962,0.203138,0.194223,0.186099,0.17866,0.171815,0.165478,0.159575,0.154038,0.148806,0.143826,0.139046,0.134424,0.129921,0.125503,0.121141,0.116812,0.112495,0.108177,0.103847,0.099501,0.095139,0.090765,0.086386,0.082016,0.077672,0.073372,0.06914,0.065002,0.060986,0.057121,0.053438,0.049969,0.046746,0.0438,0.04116,0.038858,0.036916,0.03536,0.034209,0.033479,0.033184,0.03333,0.033919,0.034949,0.036411,0.038291,0.040571,0.043224,0.04622,0.049522,0.053091,0.05688,0.060838,0.064913,0.069046,0.07318,0.077253,0.081202,0.084966,0.088482,0.09169,0.094534,0.096957,0.09891,0.100348,0.101231,0.101526,0.101208,0.10026,0.098671,0.096444,0.093586,0.090119,0.086072,0.081484,0.076405,0.070895,0.065024,0.058869,0.05252,0.04607,0.039623,0.033288,0.02718,0.021417,0.016123,0.011421,0.007437,0.004295,0.002118,0.001025,0.001131,0.002543,0.005363,0.009682,0.015582,0.023135,0.032397,0.043414,0.056217,0.070821,0.087226,0.105416,0.125357,0.147002,0.170285,0.195122,0.221416,0.249052,0.277903,0.307825,0.338663,0.370248,0.402403,0.434939,0.467661,0.500367,0.532852,0.564906,0.596319,0.626883,0.656392,0.684645,0.711445,0.736606,0.759952,0.781316,0.800546,0.817505,0.832068,0.844131,0.853606,0.860424,0.864535,0.865908
1670,7.114879,123.397202,118.628899,105.880302,88.785759,71.025719,55.009239,41.774261,31.384939,23.491949,17.611031,13.27921,10.1082,7.792487,6.099998,4.858177,3.940524,3.255246,2.736303,2.336458,2.022254,1.770047,1.563258,1.390298,1.243089,1.115987,1.005027,0.907382,0.820995,0.744319,0.676148,0.615503,0.561559,0.513597,0.470979,0.433129,0.399525,0.369692,0.343199,0.319656,0.298714,0.280059,0.263412,0.248526,0.235181,0.223186,0.21237,0.202583,0.193693,0.185583,0.17815,0.1713,0.164952,0.159031,0.153471,0.148213,0.143202,0.13839,0.133735,0.129199,0.12475,0.120358,0.116002,0.111663,0.107327,0.102985,0.098633,0.094271,0.089903,0.085539,0.081191,0.076876,0.072613,0.068425,0.064337,0.060378,0.056575,0.05296,0.049564,0.046416,0.043548,0.040987,0.038764,0.036901,0.035421,0.034343,0.033682,0.033449,0.033651,0.034289,0.035359,0.036852,0.038753,0.041042,0.043693,0.046675,0.049953,0.053485,0.057225,0.061124,0.065128,0.069182,0.073226,0.0772,0.081045,0.084697,0.088098,0.091188,0.093912,0.096215,0.09805,0.099373,0.100146,0.100338,0.099924,0.09889,0.097226,0.094935,0.092028,0.088525,0.084457,0.079863,0.074795,0.069311,0.063482,0.057385,0.051107,0.044743,0.038396,0.032172,0.026185,0.020552,0.015395,0.010835,0.006995,0.003999,0.001965,0.001011,0.001249,0.002784,0.005716,0.010133,0.016116,0.023732,0.033039,0.044078,0.056879,0.071457,0.087809,0.10592,0.125756,0.147266,0.170386,0.195035,0.221113,0.248508,0.277093,0.306726,0.337254,0.368511,0.400321,0.432498,0.46485,0.497178,0.52928,0.560949,0.591979,0.622165,0.651304,0.679198,0.705655,0.730491,0.753532,0.774616,0.793591,0.810324,0.824693,0.836594,0.845941,0.852667,0.856723,0.858078
1680,7.095499,123.668999,118.866302,106.033501,88.844498,71.010277,54.951988,41.69516,31.30316,23.416439,17.54566,13.22485,10.06419,7.757476,6.072435,4.836563,3.923533,3.241766,2.725438,2.327507,2.014692,1.763488,1.557427,1.385008,1.238218,1.111458,1.000795,0.903424,0.817299,0.74088,0.672965,0.612574,0.558878,0.511159,0.468774,0.431147,0.397751,0.36811,0.341794,0.31841,0.29761,0.27908,0.262541,0.247746,0.234478,0.222545,0.211776,0.202025,0.193159,0.185062,0.177633,0.170779,0.16442,0.158481,0.152899,0.147614,0.142574,0.137731,0.133044,0.128477,0.123998,0.119578,0.115197,0.110837,0.106485,0.102133,0.097776,0.093416,0.089057,0.084709,0.080384,0.076098,0.071873,0.067729,0.063693,0.05979,0.05605,0.052503,0.049177,0.046104,0.043312,0.040829,0.038684,0.036897,0.035491,0.034484,0.033889,0.033717,0.033973,0.034657,0.035765,0.037286,0.039205,0.041502,0.04415,0.047118,0.050368,0.053863,0.057554,0.061393,0.065327,0.0693,0.073256,0.077134,0.080874,0.084418,0.087705,0.090679,0.093285,0.095471,0.097191,0.098402,0.099068,0.099159,0.098653,0.097536,0.0958,0.093449,0.090495,0.086959,0.082873,0.078276,0.073219,0.067763,0.061977,0.055938,0.049733,0.043456,0.037207,0.031093,0.025227,0.019723,0.014701,0.01028,0.006583,0.003728,0.001835,0.001017,0.001384,0.003039,0.006079,0.010591,0.016652,0.024329,0.033676,0.044735,0.057531,0.07208,0.088378,0.106407,0.126134,0.14751,0.170467,0.194925,0.220787,0.247941,0.276261,0.305607,0.335827,0.366757,0.398224,0.430045,0.462029,0.493983,0.525705,0.556993,0.587644,0.617455,0.646228,0.673767,0.699884,0.724398,0.747138,0.767944,0.786668,0.803177,0.817354,0.829095,0.838317,0.844952,0.848952,0.850289
1690,7.076271,123.939598,119.102402,106.185303,88.902199,70.994186,54.894192,41.616161,31.22168,23.341351,17.480721,13.17091,10.02056,7.722786,6.045138,4.815165,3.906713,3.228418,2.714675,2.318637,2.007193,1.75698,1.55164,1.379757,1.233383,1.106963,0.996598,0.899501,0.813639,0.737478,0.669819,0.60968,0.556232,0.508754,0.466601,0.429193,0.396002,0.366552,0.340409,0.317182,0.296521,0.278113,0.261679,0.246973,0.233779,0.221905,0.211183,0.201465,0.192621,0.184537,0.177111,0.170252,0.163881,0.157925,0.152321,0.14701,0.141941,0.137069,0.132352,0.127755,0.123247,0.118801,0.114398,0.110019,0.105652,0.101291,0.096931,0.092574,0.088226,0.083895,0.079594,0.07534,0.071152,0.067053,0.063068,0.059222,0.055545,0.052064,0.048809,0.045809,0.043093,0.040685,0.038616,0.036904,0.03557,0.034632,0.034101,0.033988,0.034295,0.035024,0.036167,0.037714,0.03965,0.041952,0.044595,0.047546,0.05077,0.054226,0.057867,0.061646,0.06551,0.069404,0.073271,0.077053,0.080691,0.084127,0.087303,0.090163,0.092653,0.094725,0.096332,0.097434,0.097996,0.09799,0.097395,0.096198,0.094393,0.091985,0.088987,0.085421,0.081318,0.07672,0.071678,0.066251,0.060509,0.054529,0.048397,0.042206,0.036056,0.030052,0.024305,0.018928,0.014039,0.009756,0.006199,0.003484,0.001728,0.001042,0.001535,0.003307,0.006452,0.011055,0.017192,0.024926,0.03431,0.045384,0.058174,0.07269,0.088931,0.106877,0.126494,0.147733,0.170526,0.194794,0.22044,0.247353,0.275409,0.304468,0.334381,0.364987,0.396113,0.42758,0.459201,0.490782,0.522128,0.553038,0.583313,0.612754,0.641164,0.668353,0.694133,0.718329,0.74077,0.761302,0.779777,0.796067,0.810053,0.821636,0.830733,0.837278,0.841224,0.842543
1700,7.057193,124.2089,119.337303,106.335999,88.95887,70.977448,54.83569,41.537239,31.140511,23.266649,17.41622,13.11738,9.977289,7.688412,6.018103,4.793979,3.890061,3.215202,2.704014,2.309845,1.999757,1.750523,1.545895,1.374545,1.228583,1.102504,0.992435,0.895613,0.810014,0.734112,0.666708,0.606821,0.55362,0.506381,0.464458,0.427267,0.394279,0.365016,0.339044,0.31597,0.295445,0.277156,0.260825,0.246206,0.233083,0.221266,0.210588,0.200902,0.19208,0.184007,0.176583,0.16972,0.163337,0.157364,0.151737,0.146402,0.141306,0.136404,0.131658,0.127033,0.122498,0.118028,0.113603,0.109207,0.104828,0.10046,0.096099,0.091747,0.08741,0.083097,0.078821,0.074599,0.070451,0.066397,0.062463,0.058674,0.055058,0.051644,0.048458,0.045531,0.042888,0.040555,0.038561,0.036921,0.035658,0.034786,0.034317,0.03426,0.034617,0.035387,0.036564,0.038135,0.040085,0.042392,0.045028,0.047962,0.051157,0.054573,0.058165,0.061883,0.065677,0.069491,0.073271,0.076958,0.080495,0.083825,0.086892,0.08964,0.092018,0.093977,0.095474,0.09647,0.096931,0.096831,0.09615,0.094876,0.093005,0.090543,0.087504,0.08391,0.079793,0.075196,0.070169,0.064773,0.059077,0.053157,0.047098,0.040994,0.034942,0.029047,0.023418,0.018167,0.01341,0.009262,0.005842,0.003264,0.001642,0.001087,0.001702,0.003587,0.006834,0.011524,0.017733,0.025521,0.034939,0.046026,0.058805,0.073288,0.08947,0.10733,0.126836,0.147936,0.170565,0.194642,0.220072,0.246745,0.274537,0.303311,0.332919,0.363202,0.39399,0.425106,0.456365,0.487578,0.518551,0.549087,0.57899,0.608063,0.636115,0.662956,0.688404,0.712284,0.734432,0.754691,0.772921,0.788993,0.802791,0.814218,0.823192,0.829648,0.833541,0.834841
1710,7.038265,124.477097,119.5709,106.485397,89.014526,70.960068,54.776428,41.458431,31.059641,23.19236,17.35214,13.06426,9.934389,7.654351,5.991327,4.773001,3.873573,3.202114,2.693453,2.301131,1.992382,1.744115,1.540193,1.36937,1.22382,1.098079,0.988308,0.89176,0.806425,0.730781,0.663631,0.603996,0.551041,0.50404,0.462344,0.425368,0.392581,0.363502,0.337698,0.314775,0.294383,0.27621,0.259978,0.245443,0.232389,0.220628,0.209992,0.200337,0.191535,0.183472,0.17605,0.169181,0.162786,0.156797,0.151149,0.145789,0.140666,0.135737,0.130964,0.126311,0.121751,0.117258,0.112814,0.108402,0.104013,0.099639,0.095278,0.090933,0.086609,0.082315,0.078066,0.073877,0.069767,0.065759,0.061877,0.058145,0.054591,0.051241,0.048125,0.045268,0.042698,0.040439,0.038517,0.036948,0.035753,0.034946,0.034537,0.034534,0.034938,0.035748,0.036956,0.038549,0.040512,0.042821,0.045449,0.048364,0.05153,0.054906,0.058447,0.062105,0.065828,0.069564,0.073257,0.07685,0.080288,0.083514,0.086472,0.08911,0.091378,0.093228,0.094618,0.09551,0.095873,0.095682,0.094918,0.09357,0.091637,0.089123,0.086045,0.082425,0.078297,0.073703,0.068694,0.06333,0.05768,0.05182,0.045836,0.039818,0.033864,0.028077,0.022565,0.017438,0.012811,0.008797,0.005511,0.003068,0.001578,0.001149,0.001883,0.003879,0.007223,0.011999,0.018275,0.026114,0.035564,0.04666,0.059427,0.073873,0.089993,0.107767,0.127159,0.14812,0.170584,0.19447,0.219684,0.246116,0.273645,0.302136,0.33144,0.361403,0.391854,0.422622,0.453523,0.484371,0.514974,0.54514,0.574674,0.603384,0.631081,0.657579,0.682698,0.706267,0.728123,0.748114,0.766101,0.781957,0.795569,0.806842,0.815695,0.822063,0.825903,0.827186
1720,7.019482,124.744102,119.803299,106.633598,89.069183,70.94207,54.716438,41.379711,30.979059,23.118469,17.28849,13.01154,9.89185,7.620599,5.964807,4.75223,3.857249,3.189154,2.682991,2.292495,1.985068,1.737758,1.534534,1.364234,1.219092,1.093689,0.984214,0.887941,0.80287,0.727485,0.66059,0.601205,0.548495,0.50173,0.460259,0.423496,0.390907,0.36201,0.33637,0.313595,0.293333,0.275274,0.259139,0.244686,0.231699,0.219991,0.209396,0.19977,0.190986,0.182933,0.175513,0.168638,0.162231,0.156224,0.150556,0.145173,0.140024,0.135069,0.130269,0.125591,0.121006,0.116493,0.11203,0.107605,0.103206,0.098828,0.09447,0.090132,0.085822,0.081549,0.077327,0.073172,0.069102,0.06514,0.061309,0.057634,0.054141,0.050856,0.047808,0.045021,0.042523,0.040335,0.038483,0.036984,0.035855,0.03511,0.03476,0.034808,0.035258,0.036105,0.037342,0.038957,0.04093,0.04324,0.045858,0.048754,0.051889,0.055224,0.058714,0.062311,0.065965,0.069622,0.073229,0.07673,0.080069,0.083192,0.086045,0.088575,0.090735,0.092478,0.093763,0.094555,0.094823,0.094543,0.093699,0.09228,0.090287,0.087725,0.08461,0.080967,0.07683,0.07224,0.06725,0.06192,0.056317,0.050519,0.044609,0.038677,0.032821,0.027142,0.021745,0.016741,0.012242,0.008359,0.005206,0.002894,0.001533,0.001228,0.002079,0.004181,0.00762,0.012477,0.018819,0.026705,0.036183,0.047286,0.060038,0.074445,0.090501,0.108186,0.127464,0.148285,0.170583,0.194277,0.219276,0.245469,0.272736,0.300943,0.329947,0.35959,0.389709,0.420131,0.450677,0.481163,0.511399,0.541199,0.570368,0.598719,0.626065,0.652222,0.677016,0.700277,0.721845,0.741571,0.759318,0.774961,0.78839,0.79951,0.808243,0.814525,0.818312,0.819578
